round.2 / edges + plus / 
  1   1
  1   2
  1   3
  1   4
  1   5
  1   6
  1   7
  1   8
  1   9
  1  10
  1  11
  1  12
  1  13
  1  14
  1  15
  1  16
  1  17
  1  18
  1  19
  1  20
  1  21
  1  22
  1  23
  1  24
  1  25
  1  26
  1  27
  1  28
  1  29
  1  30
  1  31
  1  32
  1  33
  1  34
  1  35
  1  36
  1  37
  1  38
  1  39
  1  40
  1  41
  1  42
  1  43
  1  44
  1  45
  1  46
  1  47
  1  48
  1  49
  2   1
  2  25
  2  49
  3   1
  3  25
  3  49
  4   1
  4  25
  4  49
  5   1
  5  25
  5  49
  6   1
  6  25
  6  49
  7   1
  7  25
  7  49
  8   1
  8  25
  8  49
  9   1
  9  25
  9  49
 10   1
 10  25
 10  49
 11   1
 11   2
 11   3
 11   4
 11   5
 11   6
 11   7
 11   8
 11   9
 11  10
 11  11
 11  12
 11  13
 11  14
 11  15
 11  16
 11  17
 11  18
 11  19
 11  20
 11  21
 11  22
 11  23
 11  24
 11  26
 11  27
 11  28
 11  29
 11  30
 11  31
 11  32
 11  33
 11  34
 11  35
 11  36
 11  37
 11  38
 11  39
 11  40
 11  41
 11  42
 11  43
 11  44
 11  45
 11  46
 11  47
 11  48
 11  49
 12   1
 12  25
 12  49
 13   1
 13  25
 13  49
 14   1
 14  25
 14  49
 15   1
 15  25
 15  49
 16   1
 16  25
 16  49
 17   1
 17  25
 17  49
 18   1
 18  25
 18  49
 19   1
 19  25
 19  49
 20   1
 20  25
 20  49
 21   1
 21  25
 21  49
 22   1
 22   2
 22   3
 22   4
 22   5
 22   6
 22   7
 22   8
 22   9
 22  10
 22  11
 22  12
 22  13
 22  14
 22  15
 22  16
 22  17
 22  18
 22  19
 22  20
 22  21
 22  22
 22  23
 22  24
 22  25
 22  26
 22  27
 22  28
 22  29
 22  30
 22  31
 22  32
 22  33
 22  34
 22  35
 22  36
 22  37
 22  38
 22  39
 22  40
 22  41
 22  42
 22  43
 22  44
 22  45
 22  46
 22  47
 22  48
 22  49
